"No.","Time","Source","Destination","Protocol","Length","Info"
"1","12:50:38.589409","192.168.43.9","178.34.151.191","UDP","146","6881  >  9984 Len=104"
"2","12:50:39.555499","178.34.151.191","192.168.43.9","UDP","359","9984  >  6881 Len=317"
"3","12:50:43.069349","54.240.168.28","192.168.43.9","TLSv1.2","85","Encrypted Alert"
"4","12:50:43.069350","54.240.168.28","192.168.43.9","TCP","54","443  >  50356 [FIN, ACK] Seq=32 Ack=1 Win=124 Len=0"
"5","12:50:43.069350","54.240.168.61","192.168.43.9","TLSv1.2","100","Application Data"
"6","12:50:43.069351","54.240.168.61","192.168.43.9","TLSv1.2","85","Encrypted Alert"
"7","12:50:43.069351","54.240.168.28","192.168.43.9","TCP","54","[TCP Out-Of-Order] 443  >  50356 [FIN, ACK] Seq=32 Ack=1 Win=124 Len=0"
"8","12:50:43.069405","192.168.43.9","54.240.168.28","TCP","54","50356  >  443 [ACK] Seq=1 Ack=33 Win=255 Len=0"
"9","12:50:43.069464","192.168.43.9","54.240.168.61","TCP","54","50355  >  443 [ACK] Seq=1 Ack=79 Win=255 Len=0"
"10","12:50:43.069548","192.168.43.9","54.240.168.61","TCP","54","50355  >  443 [FIN, ACK] Seq=1 Ack=79 Win=255 Len=0"
"11","12:50:43.109215","54.240.168.61","192.168.43.9","TCP","54","443  >  50355 [ACK] Seq=79 Ack=2 Win=123 Len=0"
"12","12:50:43.604705","192.168.43.9","178.116.21.108","UDP","107","6881  >  51413 Len=65"
"13","12:50:43.697631","178.116.21.108","192.168.43.9","UDP","89","51413  >  6881 Len=47"
"14","12:50:45.948435","84.31.172.230","192.168.43.9","UDP","143","1120  >  6881 Len=101"
"15","12:50:45.948631","192.168.43.9","84.31.172.230","UDP","338","6881  >  1120 Len=296"
"16","12:50:46.049281","93.184.220.29","192.168.43.9","TCP","54","80  >  50365 [ACK] Seq=1 Ack=1 Win=288 Len=0"
"17","12:50:46.049324","192.168.43.9","93.184.220.29","TCP","54","[TCP ACKed unseen segment] 50365  >  80 [ACK] Seq=1 Ack=2 Win=255 Len=0"
"18","12:50:48.249743","192.168.43.9","192.168.43.1","DNS","70","Standard query 0xa530 A google.com"
"19","12:50:48.350996","192.168.43.1","192.168.43.9","DNS","86","Standard query response 0xa530 A google.com A 216.58.208.110"
"20","12:50:48.351843","192.168.43.9","216.58.208.110","ICMP","98","Echo (ping) request  id=0x000c, seq=1/256, ttl=128 (reply in 21)"
"21","12:50:48.388113","216.58.208.110","192.168.43.9","ICMP","98","Echo (ping) reply    id=0x000c, seq=1/256, ttl=53 (request in 20)"
"22","12:50:48.388838","192.168.43.9","192.168.43.1","DNS","87","Standard query 0x9f85 PTR 110.208.58.216.in-addr.arpa"
"23","12:50:48.432082","192.168.43.1","192.168.43.9","DNS","157","Standard query response 0x9f85 PTR 110.208.58.216.in-addr.arpa PTR sof01s11-in-f110.1e100.net PTR ams17s08-in-f14.1e100.net"
